Date,Amount
12/31/2020,95.88
12/31/2020,123
12/31/2020,30.66
12/31/2020,95.99
12/27/2020,9.99
12/27/2020,10
12/27/2020,55.78
12/24/2020,50.2
12/23/2020,23.49
12/23/2020,22.61
12/23/2020,115.22
12/23/2020,3.45
12/18/2020,654.45
12/18/2020,71.77
12/18/2020,36.49
12/18/2020,550
12/17/2020,188.7
12/17/2020,188.7
12/17/2020,188.7
12/16/2020,23.78
12/14/2020,14.99
12/13/2020,12
12/12/2020,25.46
12/12/2020,9.88
12/12/2020,30.91
12/7/2020,60.64
12/6/2020,18.55
12/6/2020,49.99
12/5/2020,4.25
12/5/2020,16.85
12/2/2020,25.46
12/1/2020,6.99
12/1/2020,7
11/30/2020,123
11/28/2020,83.3
11/28/2020,229.41
11/25/2020,5.46
11/24/2020,4.25
11/22/2020,11.99
11/22/2020,10
11/22/2020,109.81
11/22/2020,7.8
11/21/2020,9.99
11/21/2020,2
11/21/2020,31.05
11/21/2020,9.19
11/20/2020,106.43
11/19/2020,550
11/19/2020,1.43
11/18/2020,11.99
11/18/2020,1.43
11/17/2020,4.89
11/17/2020,15
11/16/2020,25
11/16/2020,25
11/16/2020,239.96
11/15/2020,247.28
11/14/2020,14.99
11/14/2020,31.43
11/13/2020,440.83
11/12/2020,3.97
11/11/2020,5.46
11/10/2020,10.08
11/8/2020,7.5
11/8/2020,5.51
11/8/2020,35.26
11/7/2020,5.46
11/7/2020,12.81
11/6/2020,5.5
11/6/2020,54.07
11/5/2020,5.46
11/5/2020,6.72
11/5/2020,46.79
11/5/2020,49.99
11/2/2020,6.33
11/2/2020,7
11/1/2020,17.51
10/31/2020,30.55
10/31/2020,2.48
10/31/2020,45.2
10/31/2020,69.61
10/31/2020,124.71
10/31/2020,1119.19
10/31/2020,6.73
10/25/2020,8.86
10/25/2020,40.94
10/23/2020,45.24
10/23/2020,2
10/23/2020,5.6
10/23/2020,25.87
10/21/2020,12.99
10/18/2020,470.85
10/18/2020,56.57
10/17/2020,3
10/17/2020,226.67
10/17/2020,42.85
10/17/2020,1
10/17/2020,399.96
10/17/2020,470.86
10/16/2020,12.81
10/13/2020,23.16
10/13/2020,215
10/12/2020,11.99
10/11/2020,1
10/11/2020,13.82
10/11/2020,25.86
10/11/2020,3.95
10/9/2020,15
10/9/2020,12.81
10/9/2020,9.99
10/8/2020,28.09
10/7/2020,15
10/6/2020,49.99
10/6/2020,10.75
10/6/2020,1108
10/3/2020,25.25
10/1/2020,20.7
10/1/2020,7
10/1/2020,118
9/27/2020,7.56
9/26/2020,89.65
9/26/2020,137.36
9/26/2020,158.68
9/24/2020,20.7
9/21/2020,12.99
9/20/2020,21.76
9/20/2020,93.43
9/16/2020,37.42
9/13/2020,105.89
9/12/2020,100.18
9/12/2020,14.99
9/7/2020,91.98
9/6/2020,97.98
9/5/2020,24.12
9/5/2020,36.48
9/5/2020,75.46
9/5/2020,59.98
9/5/2020,65.7
9/4/2020,9.99
9/1/2020,148
9/1/2020,7
8/31/2020,28.03
8/31/2020,44.82
8/30/2020,31.21
8/28/2020,40
8/28/2020,204
8/28/2020,126.04
8/28/2020,157.63
8/27/2020,6.12
8/25/2020,19.67
8/24/2020,130
8/23/2020,30.64
8/23/2020,65.39
8/21/2020,45.95
8/20/2020,17.25
8/19/2020,82.2
8/16/2020,348.31
8/16/2020,24.16
8/16/2020,135.93
8/16/2020,65.43
8/15/2020,0.75
8/14/2020,10.62
8/14/2020,74.99
8/13/2020,23.53
8/13/2020,142.3
8/13/2020,22.02
8/12/2020,9.17
8/12/2020,157.45
8/12/2020,12.01
8/11/2020,54.22
8/11/2020,5.48
8/11/2020,261
8/10/2020,45.48
8/10/2020,14.22
8/10/2020,12
8/10/2020,1.75
8/9/2020,9.18
8/9/2020,24.52
8/9/2020,29.85
8/8/2020,76.98
8/8/2020,10.78
8/7/2020,13.18
8/7/2020,15.48
8/7/2020,9.2
8/6/2020,31.14
8/3/2020,7
8/1/2020,28.89
7/31/2020,10.18
7/31/2020,31.32
7/31/2020,19.19
7/30/2020,8.99
7/30/2020,196.2
7/30/2020,19.85
7/27/2020,5.1
7/26/2020,7.99
7/26/2020,9.99
7/26/2020,10.53
7/25/2020,9.25
7/25/2020,22.7
7/25/2020,39.82
7/21/2020,90.98
7/19/2020,33
7/19/2020,12.52
7/19/2020,3.01
7/19/2020,4.37
7/18/2020,40.99
7/17/2020,93.89
7/17/2020,9.25
7/17/2020,2.5
7/17/2020,6.52
7/17/2020,108.28
7/15/2020,20.15
7/15/2020,74.99
7/13/2020,18.85
7/13/2020,16.67
7/12/2020,20.5
7/12/2020,7.65
7/11/2020,29.25
7/11/2020,24.19
7/10/2020,14.22
7/7/2020,81.45
7/6/2020,87
7/6/2020,4.83
7/4/2020,15
7/4/2020,27.51
7/3/2020,90.18
7/3/2020,63
7/2/2020,4.15
7/1/2020,15
6/30/2020,241.2
6/28/2020,58.41
6/27/2020,23.8
6/27/2020,72.2
6/26/2020,7.99
6/23/2020,18.89
6/23/2020,119.99
6/23/2020,30.39
6/23/2020,81.73
6/22/2020,9.25
6/20/2020,2
6/20/2020,9.99
6/19/2020,5
6/19/2020,62.76
6/18/2020,25.1
6/15/2020,150.78
6/14/2020,7.5
6/14/2020,74.99
6/13/2020,14.1
6/13/2020,37.14
6/13/2020,34
6/12/2020,9.02
6/12/2020,20.24
6/12/2020,12.85
6/11/2020,26.21
6/10/2020,14.22
6/5/2020,95.82
6/4/2020,9.25
6/4/2020,18.89
6/1/2020,7
5/30/2020,9.25
5/30/2020,12.5
5/29/2020,26.4
5/28/2020,52.32
5/27/2020,9.99
5/26/2020,7.99
5/25/2020,104.43
5/24/2020,9.86
5/21/2020,36
5/20/2020,17.41
5/19/2020,92.51
5/17/2020,102.51
5/16/2020,44.26
5/16/2020,45.8
5/15/2020,74.99
5/10/2020,14.22
5/9/2020,61.27
5/8/2020,8.99
5/1/2020,9.99
5/1/2020,7
4/26/2020,7.99
4/26/2020,44.69
4/25/2020,58.28
4/25/2020,3.99
4/25/2020,103.51
4/25/2020,20.13
4/21/2020,3.99
4/18/2020,61.12
4/18/2020,113.89
4/14/2020,74.99
4/12/2020,107.58
4/11/2020,8.16
4/11/2020,154.59
4/10/2020,30.61
4/10/2020,409.04
4/10/2020,14.22
4/6/2020,9.99
4/4/2020,18.51
4/4/2020,99.34
4/2/2020,6
4/1/2020,7
4/1/2020,58.66
3/31/2020,9.89
3/30/2020,48.18
3/30/2020,18.17
3/29/2020,91.17
3/27/2020,15.05
3/27/2020,19.99
3/27/2020,49.99
3/26/2020,7.99
3/26/2020,76.59
3/26/2020,39.99
3/26/2020,29.57
3/23/2020,9.54
3/23/2020,59.36
3/22/2020,39.97
3/22/2020,4.99
3/21/2020,5.99
3/21/2020,116.4
3/20/2020,25.04
3/19/2020,11.95
3/16/2020,74.99
3/15/2020,9.99
3/15/2020,26.35
3/15/2020,77.45
3/13/2020,31.41
3/12/2020,10.81
3/12/2020,15.46
3/12/2020,27.36
3/12/2020,41.04
3/12/2020,44.99
3/11/2020,5.5
3/11/2020,16.99
3/10/2020,36.76
3/10/2020,84.29
3/10/2020,1.43
3/10/2020,14.22
3/10/2020,122.1
3/10/2020,310.89
3/9/2020,35.95
3/9/2020,10.74
3/8/2020,16.5
3/8/2020,19.63
3/8/2020,3.31
3/7/2020,8.53
3/7/2020,24
3/7/2020,46.34
3/6/2020,44.89
3/6/2020,19.66
3/2/2020,170
3/2/2020,4.65
3/1/2020,77
3/1/2020,69.35
2/29/2020,88.24
2/27/2020,21.51
2/26/2020,7.99
2/26/2020,12.5
2/25/2020,10.18
2/24/2020,7.99
2/23/2020,133.88
2/23/2020,16.69
2/23/2020,18.42
2/23/2020,23.43
2/22/2020,46
2/22/2020,42.07
2/21/2020,29
2/16/2020,13.27
2/15/2020,34.27
2/15/2020,40
2/15/2020,3.25
2/15/2020,164.42
2/14/2020,0.5
2/14/2020,74.99
2/10/2020,14.22
2/10/2020,73.23
2/9/2020,16.73
2/6/2020,7.99
2/6/2020,12.59
2/3/2020,28.8
2/3/2020,57.67
2/2/2020,33.83
2/2/2020,26.4
2/2/2020,31.8
2/2/2020,5.1
2/1/2020,39.5
2/1/2020,77
1/31/2020,30.61
1/31/2020,31.36
1/30/2020,34.05
1/27/2020,21.24
1/26/2020,7.99
1/26/2020,7.99
1/26/2020,24.53
1/25/2020,4.8
1/25/2020,29.1
1/25/2020,27.38
1/25/2020,5.47
1/25/2020,52.3
1/24/2020,34.82
1/23/2020,9.25
1/22/2020,0.75
1/22/2020,6.52
1/20/2020,33
1/20/2020,5.99
1/20/2020,67
1/19/2020,87
1/19/2020,8.5
1/19/2020,8.21
1/19/2020,28.02
1/18/2020,7.75
1/17/2020,40.25
1/16/2020,57.96
1/16/2020,13.49
1/15/2020,14
1/14/2020,74.99
1/13/2020,68.19
1/13/2020,47.35
1/12/2020,4
1/11/2020,29.35
1/11/2020,3.75
1/11/2020,17.77
1/10/2020,14.22
1/10/2020,5.35
1/10/2020,4.08
1/10/2020,49.24
1/10/2020,10.88
1/10/2020,9.5
1/8/2020,7.99
1/8/2020,49.54
1/7/2020,53.08
1/1/2020,75
